S.No,Field of Interest,Company Hired,Top Skill,Experience Level
1564,Mobile Development,Apple,Flutter,Fresher
1565,Mobile Development,Talsmart,TensorFlow,Fresher
1566,AI/ML,Micron Semiconductor,PyTorch,Not Fresher
1567,DevOps,Red Hat,CI/CD,Not Fresher
1568,AI/ML,NVIDIA,TensorFlow,Fresher
1569,Cloud Computing,Google Cloud,GCP,Not Fresher
1570,Embedded Systems,Qualcomm,RTOS,Not Fresher
1571,Cybersecurity,Cisco,Ethical Hacking,Not Fresher
1572,Data Analytics,TVS Motors,C,Fresher
1573,Web Development,AWS,Ethical Hacking,Not Fresher
1574,Mobile Development,Seagate,Network Security,Fresher
1575,Cybersecurity,Red Hat,HTML/CSS,Not Fresher
1576,Cybersecurity,Tata Consulting Engineers,GCP,Not Fresher
1577,Cybersecurity,SAP Lab,SQL,Not Fresher
1578,Mobile Development,Samsung,Flutter,Not Fresher
1579,Embedded Systems,Batt:RE,React Native,Not Fresher
1580,Data Analytics,Scaler,Tableau,Not Fresher
1581,AI/ML,NVIDIA,TensorFlow,Not Fresher
1582,Cloud Computing,Synopsys,RTOS,Fresher
1583,Game Development,Rockstar Games,Unreal Engine,Not Fresher
1584,Cloud Computing,Arvind Fashion,Network Security,Fresher
1585,Cybersecurity,Arvind Fashion,Network Security,Not Fresher
1586,Data Analytics,TVS Motors,Docker,Not Fresher
1587,Cybersecurity,Juniper Networks,Power BI,Not Fresher
1588,Game Development,Ubisoft,C#,Not Fresher
1589,Web Development,Microsoft,Angular,Not Fresher
1590,Game Development,Silicon Labs,TensorFlow,Fresher
1591,Game Development,Domato Book Co.,Power BI,Fresher
1592,Embedded Systems,rtCamp,GCP,Not Fresher
1593,Mobile Development,Watchguard,RTOS,Fresher
1594,Cybersecurity,Zscaler,Firewalls,Fresher
1595,Data Analytics,Statcon Electronics,Scikit-learn,Not Fresher
1596,Web Development,Google,Unreal Engine,Not Fresher
1597,Cloud Computing,OpenAI,Azure,Not Fresher
1598,Mobile Development,Apple,Kotlin,Not Fresher
1599,Game Development,British Telecom,GCP,Not Fresher
1600,Mobile Development,Statcon Electronics,TensorFlow,Not Fresher
1601,Cybersecurity,OnePlus,Unity,Not Fresher
1602,Mobile Development,Tech Mahindra,AWS,Fresher
1603,Embedded Systems,Mercer Mettl,GCP,Fresher
1604,Mobile Development,Sabre,Microcontrollers,Not Fresher
1605,Embedded Systems,Persistent,C,Not Fresher
1606,Web Development,Cipla,TensorFlow,Fresher
1607,Cloud Computing,Zscaler,TensorFlow,Fresher
1608,Game Development,Secure Meters,React,Fresher
1609,Cloud Computing,Rockstar Games,Azure,Not Fresher
1610,AI/ML,Batt:RE,Unreal Engine,Fresher
1611,Cloud Computing,DeepMind,AWS,Not Fresher
1612,Cybersecurity,Talsmart,Kubernetes,Not Fresher
1613,Embedded Systems,Cipla,Scikit-learn,Fresher
1614,Game Development,Zscaler,Network Security,Fresher
1615,Embedded Systems,Synopsys,React,Not Fresher
1616,AI/ML,Electronic Arts,Tableau,Fresher
1617,Data Analytics,Synopsys,React,Not Fresher
1618,AI/ML,rtCamp,Unreal Engine,Not Fresher
1619,AI/ML,Cimpress,C,Not Fresher
1620,AI/ML,Red Hat,SQL,Fresher
1621,Web Development,Micron Semiconductor,CI/CD,Fresher
1622,Game Development,HSC,AWS,Fresher
1623,Game Development,Deloitte,Firewalls,Fresher
1624,DevOps,Harness,Azure,Fresher
1625,Data Analytics,Synopsys,Microcontrollers,Fresher
1626,Embedded Systems,Atlassian,CI/CD,Not Fresher
1627,Mobile Development,NI Systems,Flutter,Not Fresher
1628,AI/ML,EVAge Motors,C#,Not Fresher
1629,Cybersecurity,Dell Technologies,TensorFlow,Not Fresher
1630,AI/ML,Palo Alto Networks,Kotlin,Fresher
1631,DevOps,Cimpress,TensorFlow,Fresher
1632,Mobile Development,Marsh McLennan,Kotlin,Not Fresher
1633,Cybersecurity,JSW,Network Security,Not Fresher
1634,Game Development,PwC,Microcontrollers,Not Fresher
1635,Data Analytics,NVIDIA,Flutter,Not Fresher
1636,Cybersecurity,Silicon Labs,Docker,Fresher
1637,Web Development,Scaler,Kotlin,Not Fresher
1638,DevOps,Celebal Technologies,Kubernetes,Not Fresher
1639,Embedded Systems,DeepMind,Angular,Fresher
1640,DevOps,HSC,HTML/CSS,Fresher
1641,Cybersecurity,Statcon Electronics,React,Not Fresher
1642,Cybersecurity,Deloitte,Flutter,Not Fresher
1643,Cloud Computing,Deloitte,Microcontrollers,Fresher
1644,Mobile Development,Secure Meters,Tableau,Fresher
1645,Web Development,SAP Scholar,Kubernetes,Fresher
1646,Cybersecurity,Tata Consulting Engineers,PyTorch,Not Fresher
1647,Mobile Development,Bosch Ltd.,GCP,Not Fresher
1648,DevOps,GitHub,PyTorch,Not Fresher
1649,AI/ML,Batt:RE,Microcontrollers,Not Fresher
1650,Game Development,Celebal Technologies,Kotlin,Not Fresher
1651,Game Development,Google,Kubernetes,Not Fresher
1652,Mobile Development,DeepMind,Microcontrollers,Fresher
1653,AI/ML,Seagate,Unity,Fresher
1654,Cybersecurity,Mahindra & Mahindra,Azure,Fresher
1655,Cloud Computing,Principal Global,Unreal Engine,Fresher
1656,AI/ML,Secure Meters,Kotlin,Not Fresher
1657,Cloud Computing,Mahindra & Mahindra,SQL,Fresher
1658,Cybersecurity,OpenAI,C#,Not Fresher
1659,Data Analytics,Blackrock,React Native,Fresher
1660,Web Development,DeepMind,Angular,Not Fresher
1661,Cloud Computing,JP Morgan,Scikit-learn,Fresher
1662,Cybersecurity,AWS,HTML/CSS,Not Fresher
1663,Data Analytics,NI Systems,TensorFlow,Not Fresher
1664,Mobile Development,Hexaware,CI/CD,Fresher
1665,Mobile Development,Domato Book Co.,Unity,Fresher
1666,DevOps,Harness,React,Fresher
1667,Cloud Computing,EVAge Motors,CI/CD,Not Fresher
1668,AI/ML,JK Cement,RTOS,Not Fresher
1669,Game Development,AWS,Azure,Fresher
1670,Cybersecurity,NVIDIA,Tableau,Fresher
1671,Web Development,Nokia,Microcontrollers,Not Fresher
1672,AI/ML,Talsmart,Docker,Fresher
1673,Web Development,Marsh McLennan,Microcontrollers,Fresher
1674,Cybersecurity,Cipla,Microcontrollers,Not Fresher
1675,AI/ML,DeepMind,React,Not Fresher
1676,Web Development,Nokia,Angular,Fresher
1677,AI/ML,Secure Meters,Tableau,Fresher
1678,Mobile Development,Statcon Electronics,Unity,Not Fresher
1679,Embedded Systems,Amazon,PyTorch,Not Fresher
1680,Cybersecurity,Cisco,PyTorch,Fresher
1681,Cybersecurity,Red Hat,Flutter,Fresher
1682,AI/ML,Accolite,Firewalls,Fresher
1683,Mobile Development,Hexaware,Network Security,Not Fresher
1684,DevOps,Domato Book Co.,Angular,Fresher
1685,Cybersecurity,Mercer Mettl,Ethical Hacking,Not Fresher
1686,Data Analytics,Palo Alto Networks,C#,Fresher
1687,Game Development,TCS,GCP,Fresher
1688,Web Development,HashedIn,Azure,Not Fresher
1689,Embedded Systems,Talsmart,Network Security,Fresher
1690,Game Development,Atlassian,HTML/CSS,Not Fresher
1691,Web Development,Nokia,GCP,Not Fresher
1692,Game Development,DeepMind,HTML/CSS,Fresher
1693,Cloud Computing,TCS,Tableau,Fresher
1694,Mobile Development,DeepMind,Tableau,Fresher
1695,Cloud Computing,Mahindra Comviva,Flutter,Not Fresher
1696,Embedded Systems,Genpact,Microcontrollers,Not Fresher
1697,Web Development,PwC,C#,Not Fresher
1698,AI/ML,JK Cement,SQL,Not Fresher
1699,DevOps,Microsoft,Kubernetes,Fresher
1700,Data Analytics,OnePlus,AWS,Not Fresher
1701,AI/ML,Persistent,Unity,Fresher
1702,Game Development,Silicon Labs,Docker,Not Fresher
1703,Cloud Computing,Celebal Technologies,Firewalls,Not Fresher
1704,Data Analytics,Harness,React Native,Not Fresher
1705,Web Development,KPMG,Flutter,Not Fresher
1706,Data Analytics,OpenAI,Unreal Engine,Not Fresher
1707,Cybersecurity,Sanguine Global,SQL,Not Fresher
1708,Game Development,Navikenz Inc,Azure,Fresher
1709,AI/ML,Infosys,Ethical Hacking,Fresher
1710,Web Development,NVIDIA,Microcontrollers,Fresher
1711,DevOps,JSW,Firewalls,Not Fresher
1712,Game Development,TCS,C,Fresher
1713,Cybersecurity,SAP Lab,React,Fresher
1714,Cloud Computing,TVS Motors,AWS,Not Fresher
1715,Cloud Computing,Palo Alto Networks,SQL,Fresher
1716,AI/ML,DeepMind,Firewalls,Not Fresher
1717,Cybersecurity,TCS,Kotlin,Not Fresher
1718,Data Analytics,Palo Alto Networks,C,Not Fresher
1719,Mobile Development,JK Cement,Firewalls,Not Fresher
1720,Mobile Development,Ubisoft,Unity,Not Fresher
1721,Data Analytics,Scaler,React Native,Not Fresher
1722,DevOps,GitHub,Power BI,Not Fresher
1723,Game Development,Ubisoft,Network Security,Fresher
1724,AI/ML,TCS,Network Security,Not Fresher
1725,Cybersecurity,GitHub,React,Fresher
1726,DevOps,PwC,Network Security,Not Fresher
1727,AI/ML,Mahindra & Mahindra,Azure,Fresher
1728,AI/ML,Blackrock,C#,Not Fresher
1729,Mobile Development,Blackrock,AWS,Fresher
1730,Game Development,SAP Scholar,Tableau,Not Fresher
1731,Mobile Development,Mercer Mettl,Tableau,Not Fresher
1732,Mobile Development,JP Morgan,Ethical Hacking,Fresher
1733,Cybersecurity,Domato Book Co.,Angular,Not Fresher
1734,Web Development,Micron Semiconductor,HTML/CSS,Fresher
1735,Embedded Systems,JP Morgan,C#,Fresher
1736,DevOps,Accolite,PyTorch,Not Fresher
1737,Web Development,SAP Scholar,C,Fresher
1738,Embedded Systems,Azure,Kotlin,Not Fresher
1739,Game Development,ICICI Prudential,Microcontrollers,Fresher
1740,Web Development,Scaler,Kotlin,Fresher
1741,Cloud Computing,Harness,SQL,Not Fresher
1742,Cybersecurity,Cimpress,CI/CD,Not Fresher
1743,DevOps,Ubisoft,Docker,Fresher
1744,AI/ML,Tech Mahindra,Ethical Hacking,Not Fresher
1745,Embedded Systems,Talsmart,C,Not Fresher
1746,Game Development,OpenAI,Azure,Fresher
1747,Data Analytics,JK Cement,Azure,Fresher
1748,Cybersecurity,OpenAI,Unreal Engine,Not Fresher
1749,Web Development,Red Hat,Microcontrollers,Not Fresher
1750,Game Development,Watchguard,Microcontrollers,Fresher
1751,Data Analytics,Scaler,Unity,Fresher
1752,AI/ML,Blackrock,Flutter,Fresher
1753,AI/ML,NI Systems,C,Fresher
1754,Cybersecurity,TVS Motors,Unreal Engine,Fresher
1755,Cybersecurity,Statcon Electronics,Flutter,Not Fresher
1756,Cybersecurity,Hexaware,Kotlin,Fresher
1757,AI/ML,Blackrock,Azure,Not Fresher
1758,Data Analytics,Talsmart,Firewalls,Fresher
1759,Cloud Computing,Genpact,Flutter,Not Fresher
1760,AI/ML,SAP Scholar,Microcontrollers,Not Fresher
1761,Data Analytics,Electronic Arts,TensorFlow,Not Fresher
1762,DevOps,Blackrock,TensorFlow,Fresher
1763,Cloud Computing,Electronic Arts,Microcontrollers,Fresher
1764,Cloud Computing,Atlassian,HTML/CSS,Fresher
1765,Cloud Computing,British Telecom,PyTorch,Not Fresher
1766,Data Analytics,OnePlus,AWS,Not Fresher
1767,Game Development,Bosch Ltd.,Unreal Engine,Not Fresher
1768,Web Development,Micron Semiconductor,AWS,Fresher
1769,Mobile Development,Infosys,TensorFlow,Not Fresher
1770,Game Development,Schneider,C,Fresher
1771,Embedded Systems,Rockstar Games,Scikit-learn,Not Fresher
1772,Embedded Systems,JP Morgan,Docker,Fresher
1773,Web Development,Persistent,AWS,Not Fresher
1774,Data Analytics,Mahindra & Mahindra,Flutter,Fresher
1775,DevOps,Dell Technologies,Unreal Engine,Not Fresher
1776,Web Development,Mahindra Comviva,Kotlin,Fresher
1777,Embedded Systems,Synopsys,C#,Fresher
1778,Embedded Systems,PwC,AWS,Fresher
1779,Web Development,Blackrock,Tableau,Not Fresher
1780,DevOps,Google,CI/CD,Fresher
1781,Data Analytics,Accenture,React,Fresher
1782,Cybersecurity,PwC,AWS,Not Fresher
1783,DevOps,Mahindra Comviva,Docker,Not Fresher
1784,AI/ML,Azure,React,Fresher
1785,Embedded Systems,HashedIn,Angular,Fresher
1786,Web Development,Atlassian,Kotlin,Fresher
1787,Embedded Systems,KPMG,Kotlin,Fresher
1788,DevOps,Statcon Electronics,Firewalls,Not Fresher
1789,Cybersecurity,Navikenz Inc,Unity,Not Fresher
1790,Web Development,Sabre,Azure,Fresher
1791,Cybersecurity,Tata Consulting Engineers,Network Security,Fresher
1792,Data Analytics,Qualcomm,PyTorch,Not Fresher
1793,DevOps,Red Hat,SQL,Fresher
1794,Cybersecurity,Seagate,AWS,Not Fresher
1795,Cybersecurity,GitHub,React,Not Fresher
1796,AI/ML,NVIDIA,AWS,Not Fresher
1797,Game Development,Mercer Mettl,Docker,Fresher
1798,Embedded Systems,Google Cloud,Kubernetes,Fresher
1799,Embedded Systems,Silicon Labs,Ethical Hacking,Fresher
1800,Cloud Computing,NI Systems,Kotlin,Fresher
1801,Cybersecurity,SAP Scholar,Docker,Not Fresher
1802,Cloud Computing,Maverick Quantum,Power BI,Not Fresher
1803,Mobile Development,KPMG,TensorFlow,Fresher
1804,Web Development,Watchguard,C,Not Fresher
1805,AI/ML,Oracle,Firewalls,Not Fresher
1806,Data Analytics,Texas Instruments,Docker,Not Fresher
1807,DevOps,Genpact,Tableau,Fresher
1808,Game Development,Hyundai,Network Security,Not Fresher
1809,Web Development,Ubisoft,Kubernetes,Not Fresher
1810,Cloud Computing,Cipla,RTOS,Not Fresher
1811,Mobile Development,Electronic Arts,Tableau,Fresher
1812,Web Development,Zscaler,Azure,Not Fresher
1813,Web Development,Juniper Networks,Firewalls,Fresher
1814,Embedded Systems,Domato Book Co.,Ethical Hacking,Not Fresher
1815,Mobile Development,NVIDIA,CI/CD,Not Fresher
1816,Game Development,DeepMind,Unreal Engine,Fresher
1817,Game Development,Mercer Mettl,HTML/CSS,Fresher
1818,Mobile Development,Hyundai,Unreal Engine,Not Fresher
1819,Game Development,Sabre,C,Not Fresher
1820,Embedded Systems,Genpact,GCP,Not Fresher
1821,Data Analytics,OnePlus,Ethical Hacking,Not Fresher
1822,Cybersecurity,TVS Motors,React Native,Fresher
1823,Mobile Development,Deutsche Bank,RTOS,Not Fresher
1824,Web Development,Hexaware,Unreal Engine,Fresher
1825,Web Development,British Telecom,Docker,Not Fresher
1826,Embedded Systems,Atlassian,Angular,Fresher
1827,AI/ML,Celebal Technologies,Angular,Fresher
1828,Game Development,Persistent,Docker,Not Fresher
1829,Cybersecurity,Deloitte,SQL,Fresher
1830,DevOps,Domato Book Co.,TensorFlow,Not Fresher
1831,Game Development,Ubisoft,C,Not Fresher
1832,Mobile Development,JK Cement,C,Fresher
1833,Embedded Systems,Google Cloud,Kubernetes,Not Fresher
1834,Cloud Computing,Cipla,Microcontrollers,Fresher
1835,Cybersecurity,EVAge Motors,Kubernetes,Not Fresher
1836,Cybersecurity,Nokia,Angular,Fresher
1837,Cybersecurity,Oracle,C#,Not Fresher
1838,DevOps,Micron Semiconductor,TensorFlow,Not Fresher
1839,Mobile Development,Sabre,Angular,Not Fresher
1840,AI/ML,Batt:RE,PyTorch,Not Fresher
1841,Web Development,PwC,Flutter,Not Fresher
1842,Data Analytics,SunLife,SQL,Fresher
1843,Game Development,Arvind Fashion,React,Fresher
1844,DevOps,TVS Motors,Power BI,Fresher
1845,AI/ML,Persistent,Ethical Hacking,Not Fresher
1846,Cloud Computing,Hexaware,Network Security,Not Fresher
1847,Web Development,NI Systems,AWS,Fresher
1848,Embedded Systems,Principal Global,Azure,Not Fresher
1849,Game Development,TCS,GCP,Not Fresher
1850,DevOps,NI Systems,Flutter,Not Fresher
1851,Cybersecurity,Mahindra & Mahindra,Network Security,Fresher
1852,Game Development,Scaler,Kotlin,Fresher
1853,DevOps,Accolite,React,Not Fresher
1854,Mobile Development,Bosch Ltd.,Azure,Not Fresher
1855,Mobile Development,Domato Book Co.,Ethical Hacking,Not Fresher
1856,Game Development,Domato Book Co.,Kubernetes,Not Fresher
1857,Cybersecurity,Yamaha,Kotlin,Not Fresher
1858,Cloud Computing,EY,Scikit-learn,Fresher
1859,DevOps,Oracle,Angular,Fresher
1860,Data Analytics,British Telecom,Flutter,Not Fresher
1861,AI/ML,Scaler,Flutter,Fresher
1862,DevOps,rtCamp,TensorFlow,Fresher
1863,Web Development,Ubisoft,Angular,Fresher
1864,Web Development,rtCamp,AWS,Not Fresher
1865,AI/ML,Atlassian,Network Security,Fresher
1866,Data Analytics,Silicon Labs,PyTorch,Not Fresher
1867,Cloud Computing,DeepMind,C,Fresher
1868,Embedded Systems,Cimpress,Unreal Engine,Not Fresher
1869,Cloud Computing,Infosys,Microcontrollers,Fresher
1870,Embedded Systems,Amazon,Ethical Hacking,Fresher
1871,Data Analytics,Deloitte,Kotlin,Not Fresher
1872,DevOps,Scaler,Tableau,Not Fresher
1873,Game Development,Ubisoft,Flutter,Not Fresher
1874,AI/ML,TCS,React Native,Fresher
1875,Embedded Systems,Dell Technologies,Microcontrollers,Not Fresher
1876,DevOps,Navikenz Inc,SQL,Fresher
1877,Cybersecurity,Micron Semiconductor,Ethical Hacking,Not Fresher
1878,DevOps,Google,React Native,Not Fresher
1879,Game Development,Google Cloud,GCP,Not Fresher
1880,DevOps,rtCamp,Azure,Fresher
1881,Mobile Development,GitHub,PyTorch,Fresher
1882,Game Development,Juniper Networks,RTOS,Fresher
1883,Web Development,Ubisoft,PyTorch,Not Fresher
1884,Cybersecurity,Oracle,Angular,Fresher
1885,Cybersecurity,Oracle,Kubernetes,Not Fresher
1886,Mobile Development,Nokia,HTML/CSS,Not Fresher
1887,Embedded Systems,PwC,Microcontrollers,Fresher
1888,Cloud Computing,Accenture,Microcontrollers,Fresher
1889,Mobile Development,Silicon Labs,Unity,Not Fresher
1890,Embedded Systems,Silicon Labs,SQL,Fresher
1891,Mobile Development,Sanguine Global,Firewalls,Not Fresher
1892,DevOps,Micron Semiconductor,Unreal Engine,Fresher
1893,Embedded Systems,Genpact,Unreal Engine,Fresher
1894,Data Analytics,EVAge Motors,Kubernetes,Not Fresher
1895,Data Analytics,Intel,Network Security,Not Fresher
1896,Data Analytics,EVAge Motors,CI/CD,Fresher
1897,Web Development,ICICI Prudential,Power BI,Not Fresher
1898,AI/ML,Dell Technologies,Azure,Not Fresher
1899,Web Development,Principal Global,Firewalls,Not Fresher
1900,Mobile Development,Tata Consulting Engineers,Microcontrollers,Not Fresher
1901,DevOps,Blackrock,Flutter,Not Fresher
1902,Cybersecurity,Sabre,Flutter,Fresher
1903,Game Development,Navikenz Inc,C,Not Fresher
1904,AI/ML,JP Morgan,RTOS,Not Fresher
1905,Web Development,Scaler,Azure,Fresher
1906,Cloud Computing,Mahindra & Mahindra,Microcontrollers,Fresher
1907,Data Analytics,OpenAI,React Native,Fresher
1908,Web Development,Oracle,Ethical Hacking,Not Fresher
1909,Data Analytics,HashedIn,GCP,Fresher
1910,Cybersecurity,Nokia,CI/CD,Not Fresher
1911,Mobile Development,Google,Scikit-learn,Not Fresher
1912,Game Development,rtCamp,Kubernetes,Not Fresher
1913,Data Analytics,HSC,HTML/CSS,Not Fresher
1914,Embedded Systems,JP Morgan,Docker,Fresher
1915,Data Analytics,Philips,PyTorch,Not Fresher
1916,Cybersecurity,Talsmart,Unity,Fresher
1917,Cybersecurity,Deutsche Bank,C,Not Fresher
1918,Data Analytics,Maverick Quantum,PyTorch,Not Fresher
1919,DevOps,Intel,HTML/CSS,Fresher
1920,Cloud Computing,Azure,React,Fresher
1921,Embedded Systems,Microsoft,PyTorch,Not Fresher
1922,Cloud Computing,Genpact,Ethical Hacking,Fresher
1923,Data Analytics,AWS,Microcontrollers,Not Fresher
1924,Web Development,JP Morgan,Microcontrollers,Not Fresher
1925,Embedded Systems,TCS,AWS,Fresher
1926,Cloud Computing,OpenAI,Network Security,Not Fresher
1927,Mobile Development,Schneider,Network Security,Not Fresher
1928,Web Development,Seagate,React Native,Not Fresher
1929,Cybersecurity,Tech Mahindra,C,Fresher
1930,Mobile Development,Domato Book Co.,Azure,Not Fresher
1931,Mobile Development,Cisco,Ethical Hacking,Not Fresher
1932,AI/ML,Nokia,Azure,Not Fresher
1933,Cloud Computing,Schneider,CI/CD,Not Fresher
1934,Embedded Systems,Apple,Unity,Fresher
1935,Web Development,Seagate,Kubernetes,Fresher
1936,Mobile Development,Mercer Mettl,Kotlin,Not Fresher
1937,Web Development,Juniper Networks,RTOS,Fresher
1938,Web Development,OnePlus,C,Not Fresher
1939,Cybersecurity,Apple,Kotlin,Fresher
1940,Embedded Systems,Sabre,Flutter,Fresher
1941,Embedded Systems,Sabre,HTML/CSS,Not Fresher
1942,Game Development,Amazon,AWS,Not Fresher
1943,Game Development,Deutsche Bank,GCP,Not Fresher
1944,Cybersecurity,Electronic Arts,Docker,Not Fresher
1945,Web Development,Silicon Labs,Firewalls,Fresher
1946,Web Development,Genpact,TensorFlow,Fresher
1947,Cloud Computing,JK Cement,Firewalls,Not Fresher
1948,DevOps,Nokia,Tableau,Not Fresher
1949,Mobile Development,Dell Technologies,Kotlin,Not Fresher
1950,Mobile Development,Bosch Ltd.,React,Not Fresher
1951,DevOps,Cisco,React Native,Not Fresher
1952,Game Development,Tech Mahindra,C#,Fresher
1953,Mobile Development,Marsh McLennan,Flutter,Fresher
1954,Cloud Computing,Red Hat,Flutter,Fresher
1955,Cloud Computing,ICICI Prudential,Kubernetes,Not Fresher
1956,Mobile Development,Dell Technologies,Tableau,Not Fresher
1957,AI/ML,Electronic Arts,Azure,Fresher
1958,AI/ML,rtCamp,HTML/CSS,Not Fresher
1959,Data Analytics,Navikenz Inc,Tableau,Not Fresher
1960,Cloud Computing,Oracle,Azure,Not Fresher
1961,Mobile Development,EY,Power BI,Fresher
1962,Cloud Computing,Micron Semiconductor,HTML/CSS,Not Fresher
1963,Game Development,Domato Book Co.,Network Security,Fresher
1964,Data Analytics,KPMG,Firewalls,Not Fresher
1965,Data Analytics,Microsoft,Firewalls,Fresher
1966,Cybersecurity,Sabre,C#,Fresher
1967,Data Analytics,Hyundai,Tableau,Not Fresher
1968,Data Analytics,Hyundai,Power BI,Fresher
1969,Embedded Systems,Mahindra Comviva,Network Security,Not Fresher
1970,Cybersecurity,Blackrock,Unity,Not Fresher
1971,AI/ML,Intel,React,Fresher
1972,Cloud Computing,Juniper Networks,Microcontrollers,Not Fresher
1973,DevOps,Hexaware,Kubernetes,Fresher
1974,Embedded Systems,Scaler,SQL,Fresher
1975,Embedded Systems,OpenAI,Azure,Not Fresher
1976,Mobile Development,Secure Meters,TensorFlow,Not Fresher
1977,Embedded Systems,ICICI Prudential,C,Not Fresher
1978,Game Development,Texas Instruments,Network Security,Not Fresher
1979,DevOps,Persistent,GCP,Not Fresher
1980,AI/ML,Statcon Electronics,Unreal Engine,Fresher
1981,Embedded Systems,KPMG,GCP,Not Fresher
1982,Cybersecurity,Celebal Technologies,AWS,Fresher
1983,Game Development,Seagate,Azure,Not Fresher
1984,DevOps,Hyundai,Unreal Engine,Fresher
1985,AI/ML,Mercer Mettl,AWS,Not Fresher
1986,DevOps,Cimpress,Angular,Not Fresher
1987,DevOps,Talsmart,Azure,Not Fresher
1988,Embedded Systems,Arvind Fashion,Ethical Hacking,Fresher
1989,Cybersecurity,Texas Instruments,C#,Not Fresher
1990,Cybersecurity,OpenAI,Scikit-learn,Not Fresher
1991,Cybersecurity,Mahindra & Mahindra,C,Fresher
1992,Mobile Development,TVS Motors,Flutter,Not Fresher
1993,Embedded Systems,Mahindra Comviva,React,Fresher
1994,Data Analytics,Accenture,Docker,Fresher
1995,AI/ML,Palo Alto Networks,Angular,Not Fresher
1996,Embedded Systems,NI Systems,C#,Not Fresher
1997,DevOps,KPMG,React,Fresher
1998,Game Development,Tata Consulting Engineers,Angular,Not Fresher
1999,Cybersecurity,Blackrock,Unity,Not Fresher
2000,Cybersecurity,Navikenz Inc,Kotlin,Fresher
2001,Game Development,Accolite,Network Security,Not Fresher
2002,Data Analytics,ICICI Prudential,SQL,Fresher
2003,Game Development,Nokia,Kotlin,Fresher
2004,Cybersecurity,NI Systems,Flutter,Not Fresher
2005,DevOps,Scaler,Azure,Not Fresher
2006,DevOps,Mahindra Comviva,C,Not Fresher
2007,Game Development,Silicon Labs,Network Security,Fresher
2008,DevOps,Amazon,Unreal Engine,Not Fresher
2009,AI/ML,Hexaware,Kotlin,Not Fresher
2010,Cybersecurity,Secure Meters,Flutter,Not Fresher
2011,Mobile Development,Blackrock,RTOS,Not Fresher
2012,AI/ML,Ubisoft,Docker,Not Fresher
2013,Cybersecurity,Intel,CI/CD,Fresher
2014,DevOps,Arvind Fashion,Kotlin,Fresher
2015,Game Development,Genpact,Tableau,Fresher
2016,Cloud Computing,JSW,Network Security,Not Fresher
2017,DevOps,Accolite,Firewalls,Fresher
2018,Data Analytics,Zscaler,PyTorch,Fresher
2019,AI/ML,Nokia,AWS,Not Fresher
2020,Web Development,Accenture,Unreal Engine,Fresher
2021,AI/ML,NI Systems,PyTorch,Fresher
2022,Cybersecurity,Micron Semiconductor,CI/CD,Not Fresher
2023,Data Analytics,Google Cloud,React,Fresher
2024,Cybersecurity,Mahindra Comviva,Kotlin,Not Fresher
2025,Web Development,Hexaware,Unity,Not Fresher
2026,Web Development,Samsung,Kotlin,Not Fresher
2027,Cybersecurity,Azure,React Native,Not Fresher
2028,Cybersecurity,Juniper Networks,RTOS,Not Fresher
2029,Mobile Development,AWS,C#,Fresher
2030,Game Development,Infosys,Azure,Fresher
2031,Embedded Systems,Arvind Fashion,Power BI,Fresher
2032,AI/ML,Cisco,Kotlin,Fresher
2033,Game Development,Samsung,RTOS,Fresher
2034,Cloud Computing,Samsung,Azure,Fresher
2035,Cybersecurity,Juniper Networks,AWS,Not Fresher
2036,Game Development,Zscaler,AWS,Not Fresher
2037,Mobile Development,SunLife,GCP,Not Fresher
2038,Cloud Computing,Marsh McLennan,HTML/CSS,Fresher
2039,DevOps,Azure,Ethical Hacking,Fresher
2040,Game Development,Scaler,Tableau,Fresher
2041,Cloud Computing,SAP Scholar,Tableau,Fresher
2042,Cybersecurity,Scaler,Firewalls,Fresher
2043,Web Development,Azure,Firewalls,Not Fresher
2044,Embedded Systems,TCS,PyTorch,Fresher
2045,Data Analytics,PwC,Kotlin,Fresher
2046,Web Development,DeepMind,Azure,Not Fresher
2047,Cloud Computing,ICICI Prudential,CI/CD,Not Fresher
2048,AI/ML,OnePlus,Microcontrollers,Fresher
2049,Cybersecurity,Tech Mahindra,HTML/CSS,Fresher
2050,Game Development,AWS,C,Fresher
2051,Web Development,Oracle,React,Fresher
2052,Game Development,Silicon Labs,CI/CD,Fresher
2053,Web Development,Marsh McLennan,C#,Not Fresher
2054,Mobile Development,Bosch Ltd.,Firewalls,Fresher
2055,Cybersecurity,Ubisoft,React Native,Fresher
2056,Data Analytics,Bosch Ltd.,CI/CD,Fresher
2057,Web Development,Scaler,SQL,Not Fresher
2058,DevOps,Deutsche Bank,PyTorch,Not Fresher
2059,Mobile Development,SAP Lab,Angular,Not Fresher
2060,Embedded Systems,Seagate,RTOS,Fresher
2061,DevOps,TCS,C#,Not Fresher
2062,Cybersecurity,NI Systems,Kotlin,Fresher
2063,Data Analytics,Dell Technologies,SQL,Fresher
2064,Web Development,Qualcomm,Angular,Not Fresher
2065,Data Analytics,Juniper Networks,PyTorch,Not Fresher
2066,Cloud Computing,HSC,React Native,Not Fresher
2067,Embedded Systems,Deutsche Bank,Azure,Not Fresher
2068,Mobile Development,SAP Scholar,React Native,Fresher
2069,Embedded Systems,Maverick Quantum,Power BI,Fresher
2070,Cloud Computing,Micron Semiconductor,CI/CD,Fresher
